Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Target 4,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev,Ch3 Mean,Ch3 StdDev,Ch4 Mean,Ch4 StdDev,Ch5 Mean,Ch5 StdDev,Ch6 Mean,Ch6 StdDev,Cluster ID
A01,0,0,0,0,15222,302.8006831996,29.5154851612715,784.35808637712,44.2094897341808,597.678180531687,39.081226536681,59.8871027139455,40.0302449788473,11.8707388219028,38.6259975300286,134.608078716314,48.6125671029789,1,
A01,1,0,0,0,4,3855.17108154297,720.757886080354,789.801742553711,138.877313093008,599.704238891602,35.2396564327853,27.7366997003555,30.3533154968827,19.4921655654907,24.6059151691293,113.980638504028,32.5842787645896,2,
A01,0,1,0,0,9,373.037373860677,71.8468820943367,1831.92051866319,206.964726222413,588.625915527344,22.6478941488077,57.3016357421875,34.081173210433,1.19842192861769,29.2495726501481,153.73588985867,41.2234681893677,3,
A01,0,0,1,0,1,314.359680175781,0,809.251037597656,0,1115.20617675781,0,57.4992027282715,0,25.0313739776611,0,146.913787841797,0,4,
A01,1,0,1,0,6,3987.26570638021,368.639278576613,900.366566975911,66.1984150528458,2364.77829996745,962.85756753951,46.1384293238322,83.6201892684743,10.1827272176743,23.2092418196565,125.776123046875,62.5821371590611,5,
A01,0,1,1,0,2,422.899719238281,32.9614735910611,1700.47204589844,87.1084429423328,2644.63000488281,821.714876157472,-9.2380542755127,60.5633651075956,-15.252861738205,24.8485562516684,304.479217529297,45.4956577165824,6,
A01,0,0,0,1,1,335.836181640625,0,873.124328613281,0,658.030090332031,0,26.3373012542725,0,-11.9745950698853,0,613.953186035156,0,7,
A01,0,0,1,1,1,265.824096679688,0,833.277526855469,0,4578.8369140625,0,-123.512672424316,0,-161.292282104492,0,1342.59582519531,0,8,
A01,1,0,1,1,5,4022.45869140625,369.92993479803,938.752221679688,122.255446452997,2429.25749511719,622.526317868177,11.6450637817383,106.936448344016,-61.3256713867188,66.138395165024,507.501049804688,223.474326339065,9,
A01,1,1,1,1,1,4149.67236328125,0,1929.09387207031,0,1572.75244140625,0,55.2017822265625,0,-114.95964050293,0,685.895568847656,0,10,
A02,0,0,0,0,20460,313.833901933538,35.6191797543015,756.943906170648,71.1038444900306,620.298210387169,50.5147438789707,51.4847123366888,40.3395728693475,16.9624043252393,36.1512797734233,118.383748468019,31.9541679703388,1,
A02,1,0,0,0,48,2976.76160303752,949.130234415181,775.601819356283,101.203056532913,633.051620483398,87.8910949391226,60.7909569752713,40.4584157479125,18.6623282923053,37.6453961883014,119.522931337357,32.3387104455175,2,
A02,0,1,0,0,10,325.116644287109,78.7168950541183,1549.27443847656,293.6852880443,608.634033203125,55.6298988225519,73.7021493911743,41.313199900735,8.57376968860626,37.1805243979428,117.43494644165,24.8531564418582,3,
A02,0,0,1,0,24,319.895888010661,28.4501854569528,851.627690633138,132.756341930594,2531.31156158447,1329.08544530999,-36.5290748551488,116.860866284547,18.1896852950255,31.9178891365971,114.106354395549,37.7564938627307,4,
A02,1,0,1,0,61,3488.90190549757,515.794721164214,771.4907416672,95.0866585487738,2870.13385109823,1155.80385779403,-47.014711872476,112.093184389117,31.4527027323598,43.9794470358395,107.394546696397,41.2603988584468,5,
A02,0,1,1,0,1,335.519348144531,0,1286.00024414063,0,2226.57958984375,0,-14.0227088928223,0,-36.9174957275391,0,205.680282592773,0,6,
A02,1,1,1,0,2,2990.0537109375,46.5768612738508,1457.40100097656,45.9533091025506,1593.0888671875,159.298417449656,30.0724778175354,61.5721860044062,-25.2209901809692,4.71659110234357,128.46997833252,17.8287777826928,7,
A02,0,0,0,1,4,316.194004058838,55.4729839771054,778.497680664063,126.201003228084,614.983459472656,34.2816317829203,42.1047065258026,35.8369130735609,-42.2494843006134,47.3179983559205,395.326286315918,128.859783660451,8,
A02,1,0,0,1,1,1767.36315917969,0,726.022033691406,0,603.920104980469,0,78.6427536010742,0,-3.96355700492859,0,272.770385742188,0,9,
A02,1,0,1,1,1,3313.25927734375,0,726.243896484375,0,1731.01525878906,0,-4.5138201713562,0,-68.7058792114258,0,685.038391113281,0,10,
A03,0,0,0,0,14326,306.774013364313,34.7393862941681,752.851913411674,69.2032648423096,606.88518662954,48.1037202859103,48.6110103311575,40.5666801968725,15.6442154642237,36.5365789104044,118.745233329884,32.6121265321972,1,
A03,1,0,0,0,19,3862.62345805921,781.562459299477,801.578561883224,87.7931438185183,630.154104132401,50.7853195690142,46.6831398763155,37.5317903135524,14.8691244768469,44.2136603570978,133.73330798902,68.5477420062131,2,
A03,0,1,0,0,15,337.374989827474,40.0223737928289,1611.09480794271,193.051487341483,596.189152018229,49.7818523234821,36.4627324104309,39.1909650787838,5.26905293067296,27.485232041177,134.110038757324,40.4011881356815,3,
A03,1,1,0,0,1,3778.21899414063,0,1683.99169921875,0,539.614440917969,0,32.0509757995605,0,-15.4854717254639,0,149.722930908203,0,4,
A03,0,0,1,0,6,304.28832244873,42.3455555273582,779.19932047526,136.467925155832,2038.91662597656,1133.61622522751,-14.8311894734701,142.256463409859,37.616224527359,28.720629384985,132.663400650024,44.4715455107078,5,
A03,1,0,1,0,10,3637.5411315918,1082.77035584799,808.507025146484,81.3837266460759,2398.80077514648,1012.86792690627,-42.6311059951782,98.9658915411242,34.3106731414795,40.6776149735959,136.049053573608,74.1169145094911,6,
A03,0,1,1,0,2,329.020736694336,41.4085813844916,1619.56481933594,103.259687140148,3023.80383300781,104.121646163211,-73.1824569702148,33.8222781276493,19.6574106216431,14.8685247566986,180.229019165039,95.8533219294155,7,
A03,1,1,1,0,1,3725.44213867188,0,1551.84619140625,0,2925.26098632813,0,62.5780906677246,0,134.629287719727,0,23.9099578857422,0,8,
A03,1,0,0,1,3,3992.00797526042,287.425356791149,738.804646809896,169.447340165072,662.520792643229,74.7509354468432,36.2278598149618,31.1924904287023,-49.0694824854533,38.3125177046638,701.412556966146,190.64671748515,9,
A03,0,1,0,1,2,297.454345703125,3.62362014497093,1889.37493896484,256.856279315776,607.763824462891,31.4671580886317,76.0299873352051,81.3511537643633,-137.0751953125,60.305453368692,1003.23126220703,288.013862395774,10,
A03,1,0,1,1,3,3706.57747395833,128.573746425366,723.797688802083,77.7866862211134,2432.07845052083,688.177159465738,-3.50926820437113,84.7655192722974,-8.78194077809652,18.5360611519102,409.323201497396,38.9810298205726,11,
A03,0,1,1,1,1,326.540374755859,0,1476.22668457031,0,1019.07061767578,0,-26.5551624298096,0,-55.3335456848145,0,363.087371826172,0,12,
A03,1,1,1,1,1,4345.60888671875,0,2095.18969726563,0,3045.69921875,0,-131.062591552734,0,-69.5906295776367,0,812.031677246094,0,13,
A04,0,0,0,0,18967,314.574584112199,35.6382292218348,763.889484929443,68.9215214222878,611.962801873505,48.6829197873567,49.8500961630802,40.8330444122814,15.6777752776262,57.547582245977,123.345030354861,76.7915178938725,1,
A04,1,0,0,0,29,1468.35740293306,904.916365854732,752.200302650189,78.8203652499886,627.867308517982,89.8835185090566,49.3944583925708,37.5091056645413,-10.5607870447225,59.9339937686188,146.545916458656,74.0597928703983,2,
